filename,width,height,class,xmin,ymin,xmax,ymax
20190809_115705.jpg,256,256,fresh,37,160,97,214
20190809_115823.jpg,256,256,fresh,50,158,50,158
20190809_115900.jpg,256,256,fresh,42,203,86,256
20190809_120034.jpg,256,256,fresh,22,223,22,223
20190809_120105.jpg,256,256,fresh,57,177,57,181
20190809_120123.jpg,256,256,fresh,75,159,75,159
20190809_120605.jpg,256,256,fresh,58,173,75,204
20190809_120623.jpg,256,256,fresh,24,167,24,167
20190809_120656.jpg,256,256,fresh,81,195,81,208
20190809_120702.jpg,256,256,fresh,52,167,90,199
20190809_121006.jpg,256,256,fresh,30,184,30,184
20190809_121009.jpg,256,256,fresh,19,184,19,184
20190809_121033.jpg,256,256,fresh,81,194,97,216
20190809_121038.jpg,256,256,fresh,45,166,54,182
20190809_121119.jpg,256,256,fresh,45,179,61,210
20190809_121122.jpg,256,256,fresh,52,185,62,215
20190809_121146.jpg,256,256,fresh,96,206,101,206
20190809_121201.jpg,256,256,fresh,56,193,56,193
20190809_121203.jpg,256,256,fresh,71,192,71,193
20190809_121206.jpg,256,256,fresh,83,201,83,216
20190809_121214.jpg,256,256,fresh,42,196,42,196
20190809_121217.jpg,256,256,fresh,51,198,64,222
20190809_121227.jpg,256,256,fresh,36,155,36,155
20190809_121235.jpg,256,256,fresh,45,182,45,182
20190809_121238.jpg,256,256,fresh,52,160,52,160
20190809_121341.jpg,256,256,fresh,65,184,65,184
20190809_121423.jpg,256,256,fresh,30,191,39,191
20190809_121433.jpg,256,256,fresh,38,153,38,153
20190809_121441.jpg,256,256,fresh,52,178,69,178
20190809_121702.jpg,256,256,fresh,66,189,66,189
20190809_121739.jpg,256,256,fresh,31,187,39,194
20190809_121742.jpg,256,256,fresh,37,195,37,195
20190809_121750.jpg,256,256,fresh,57,229,57,229
20190809_121759.jpg,256,256,fresh,64,179,64,179
20190809_121801.jpg,256,256,fresh,57,216,87,241
20190809_121843.jpg,256,256,fresh,45,201,45,207
20190809_121854.jpg,256,256,fresh,61,199,61,212
20190809_121903.jpg,256,256,fresh,65,148,118,220
20190809_121931.jpg,256,256,fresh,101,199,101,199
20190809_121937.jpg,256,256,fresh,64,173,95,212
20190809_121950.jpg,256,256,fresh,80,185,126,234
20190809_121955.jpg,256,256,fresh,62,176,97,199
20190809_122017.jpg,256,256,fresh,18,141,18,141
20190809_122021.jpg,256,256,fresh,64,188,67,188
20190809_122027.jpg,256,256,fresh,44,165,70,197
20190809_122033.jpg,256,256,fresh,55,171,55,171
20190809_122051.jpg,256,256,fresh,56,159,56,159
20190809_122135.jpg,256,256,fresh,63,163,63,163
20190809_122137.jpg,256,256,fresh,92,178,101,187
20190809_122156.jpg,256,256,fresh,43,178,43,178
20190809_122159.jpg,256,256,fresh,27,178,47,178
20190809_122218.jpg,256,256,fresh,72,175,73,175
20190809_122229.jpg,256,256,fresh,41,187,69,199
20190809_122244.jpg,256,256,fresh,14,199,40,213
20190809_122409.jpg,256,256,fresh,72,195,85,205
20190809_122412.jpg,256,256,fresh,50,194,59,222
20190809_122415.jpg,256,256,fresh,72,176,102,214
20190809_122418.jpg,256,256,fresh,53,199,91,226
20190809_122431.jpg,256,256,fresh,72,195,83,230
20190809_122435.jpg,256,256,fresh,61,190,65,218
20190809_122638.jpg,256,256,fresh,57,228,72,247
20190809_122642.jpg,256,256,fresh,51,226,60,234
20190809_122705.jpg,256,256,fresh,31,166,31,166
20190809_122710.jpg,256,256,fresh,51,184,51,184
20190809_122714.jpg,256,256,fresh,62,185,62,185
20190809_122727.jpg,256,256,fresh,34,201,34,201
20190809_122734.jpg,256,256,fresh,79,197,79,203
20190809_122752.jpg,256,256,fresh,53,197,76,211
20190809_122814.jpg,256,256,fresh,48,164,57,188
20190809_150520.jpg,256,256,fresh,35,168,35,169
20190809_150529.jpg,256,256,fresh,35,161,35,161
20190809_150534.jpg,256,256,fresh,77,179,77,181
20190809_150538.jpg,256,256,fresh,58,193,58,206
20190809_150547.jpg,256,256,fresh,61,193,75,211
20190809_150554.jpg,256,256,fresh,61,180,84,223
20190809_150611.jpg,256,256,fresh,71,164,104,220
20190809_150615.jpg,256,256,fresh,28,135,113,239
20190809_150621.jpg,256,256,fresh,50,171,102,233
20190809_150645.jpg,256,256,fresh,41,172,77,203
20190809_150712.jpg,256,256,fresh,33,174,87,229
20190809_150718.jpg,256,256,fresh,37,215,37,215
20190809_150952.jpg,256,256,fresh,16,166,16,166
20190809_151014.jpg,256,256,fresh,29,180,29,180
20190809_151017.jpg,256,256,fresh,60,190,60,190
20190809_151025.jpg,256,256,fresh,67,166,67,166
20190809_151031.jpg,256,256,fresh,10,175,10,175
20190809_151052.jpg,256,256,fresh,70,155,106,200
20190809_151056.jpg,256,256,fresh,35,196,35,196
20190809_153244.jpg,256,256,fresh,76,147,85,176
20190809_153301.jpg,256,256,fresh,44,191,44,191
20190809_153319.jpg,256,256,fresh,33,193,35,214
20190809_153322.jpg,256,256,fresh,36,141,36,141
20190809_153328.jpg,256,256,fresh,61,177,70,198
20190809_153335.jpg,256,256,fresh,75,183,75,183
20190809_153348.jpg,256,256,fresh,55,178,87,228
20190809_153420.jpg,256,256,fresh,54,191,60,205
20190809_153423.jpg,256,256,fresh,49,182,54,211
20190809_153425.jpg,256,256,fresh,34,201,34,201
20190809_153429.jpg,256,256,fresh,22,164,22,164
20190809_153437.jpg,256,256,fresh,61,191,61,197
20190809_153441.jpg,256,256,fresh,63,175,68,191
20190809_153451.jpg,256,256,fresh,68,160,116,207
20190809_153510.jpg,256,256,fresh,82,201,93,237
20190809_153529.jpg,256,256,fresh,71,164,75,179
20190809_153543.jpg,256,256,fresh,63,194,100,238
20190809_153558.jpg,256,256,fresh,33,166,33,166
20190809_153601.jpg,256,256,fresh,56,173,56,173
20190809_153640.jpg,256,256,fresh,25,185,28,206
20190809_153646.jpg,256,256,fresh,41,144,41,144
20190809_153649.jpg,256,256,fresh,76,187,76,197
20190809_153655.jpg,256,256,fresh,52,168,52,168
20190809_153715.jpg,256,256,fresh,50,179,91,233
20190809_153722.jpg,256,256,fresh,28,167,86,245
20190809_153854.jpg,256,256,fresh,57,182,61,215
20190809_153900.jpg,256,256,fresh,78,200,78,205
20190809_155758.jpg,256,256,fresh,26,184,67,196
20190809_155821.jpg,256,256,fresh,40,190,62,197
20190809_155823.jpg,256,256,fresh,48,161,70,188
20190809_155828.jpg,256,256,fresh,40,218,40,218
20190809_155831.jpg,256,256,fresh,28,171,28,171
20190809_155845.jpg,256,256,fresh,13,169,59,201
20190809_155853.jpg,256,256,fresh,71,206,86,206
20190809_155914.jpg,256,256,fresh,36,161,92,179
20190809_155927.jpg,256,256,fresh,81,228,96,232
20190809_155931.jpg,256,256,fresh,88,203,88,203
20190809_160241.jpg,256,256,fresh,48,197,58,197
20190809_160245.jpg,256,256,fresh,28,209,94,248
20190809_160249.jpg,256,256,fresh,5,155,5,155
20190809_160255.jpg,256,256,fresh,24,170,24,170
20190809_160259.jpg,256,256,fresh,46,196,46,196
20190809_160302.jpg,256,256,fresh,68,194,68,194
20190809_160308.jpg,256,256,fresh,21,191,41,196
20190809_160313.jpg,256,256,fresh,28,186,91,228
20190809_160320.jpg,256,256,fresh,35,170,46,170
20190809_160327.jpg,256,256,fresh,35,194,56,207
20190809_160334.jpg,256,256,fresh,47,195,56,195
20190809_160345.jpg,256,256,fresh,26,197,52,197
